ref,status,doi,checked,citation
1,"has DOI, needs your check",10.1177/1077546303009007007,,"E. M. Abdel-Rahman, A. H. Nayfeh, Z. N. Masoud, Dynamics and control of cranes: a review, J. Vib. Control 9 (7) (2003) 863-908. doi:10.1177/1077546303009007007."
2,"has DOI, needs your check",10.1016/j.ymssp.2017.03.015,,"L. Ramli, Z. Mohamed, A. M. Abdullahi, H. I. Jaafar, I. M. Lazim, Control strategies for crane systems: a comprehensive review, Mech. Syst. Signal Process. 95 (2017) 1-23. doi:10.1016/j.ymssp.2017.03.015."
3,"has DOI, needs your check",10.1016/j.arcontrol.2023.100877,,"M. R. Mojallizadeh, B. Brogliato, C. Prieur, Modeling and control of overhead cranes: a tutorial overview and perspectives, Annu. Rev. Control 56 (2023) 100877. doi:10.1016/j.arcontrol.2023.100877."
4,"has DOI, needs your check",10.1007/978-981-13-5770-1,,"K.-S. Hong, U. H. Shah, Dynamics and Control of Industrial Cranes, Springer, Singapore, 2019. doi:10.1007/978-981-13-5770-1."
5,verified,10.1115/1.2894142,,"N. C. Singer, W. P. Seering, Preshaping command inputs to reduce system vibration, ASME J. Dyn. Syst. Meas. Control 112 (1) (1990) 76-82. doi:10.1115/1.2894142."
6,"has DOI, needs your check",10.1007/s12541-009-0084-2,,"W. Singhose, Command shaping for flexible systems: a review of the first 50 years, Int. J. Precis. Eng. Manuf. 10 (4) (2009) 153-68. doi:10.1007/s12541-009-0084-2."
7,verified,10.1016/j.jsv.2008.02.032,,"J. Vaughan, A. Yano, W. Singhose, Comparison of robust input shapers, J. Sound Vib. 315 (4-5) (2008) 797-815. doi:10.1016/j.jsv.2008.02.032."
8,verified,10.1016/j.conengprac.2006.03.005,,"K. L. Sorensen, W. Singhose, S. Dickerson, A controller enabling precise positioning and sway reduction in bridge and gantry cranes, Control Eng. Pract. 15 (7) (2007) 825-37. doi:10.1016/j.conengprac.2006.03.005."
9,SUSPECT,,,"N. Sun, Y. Fang, H. Chen, A survey on recent developments of input shaping methods for suppressing residual vibration of flexible structures, Mech. Syst. Signal Process. 66-67 (2015) 468-82."
10,"has DOI, needs your check",10.1109/TAC.2003.819287,,"Y. Fang, W. E. Dixon, D. M. Dawson, E. Zergeroglu, Nonlinear control of underactuated overhead crane systems, IEEE Trans. Autom. Control 48 (12) (2003) 2233-8. doi:10.1109/TAC.2003.819287."
11,"has DOI, needs your check",10.1080/00207179508921959,,"M. Fliess, J. Levine, P. Martin, H. Sira-Ramirez, Flatness and defect of non-linear systems: introductory theory and examples, Int. J. Control 61 (6) (1995) 1327-61. doi:10.1080/00207179508921959."
12,"has DOI, needs your check",10.1007/s11071-014-1837-8,,"Z. Wu, X. Xia, B. Zhu, Model predictive control for improving operational efficiency of overhead cranes, Nonlinear Dyn. 79 (4) (2015) 2639-57. doi:10.1007/s11071-014-1837-8."
